#x [m],y [m],z [m],x [V/m],y [V/m],z [V/m]
Sample 1 time=5
0,0.0685,-0.1275,3.47585,-3142.58,-77.6157
0,0.0695,-0.1275,2.99776,-2986.76,-69.6136
0,0.0705,-0.1275,2.44976,-2832.47,-60.9738
0,0.0715,-0.1275,1.83196,-2679.74,-51.6962
0,0.0725,-0.1275,1.14428,-2528.54,-41.7809
0,0.0735,-0.1275,0.507126,-2385.69,-34.5421
0,0.0745,-0.1275,0.38196,-2273.77,-41.3374
0,0.0755,-0.1275,0.259912,-2161.6,-47.2146
0,0.0765,-0.1275,0.14094,-2049.18,-52.1738
0,0.0775,-0.1275,0.0250549,-1936.52,-56.2145
0,0.0785,-0.1275,-0.0877523,-1823.62,-59.337
0,0.0795,-0.1275,-0.197509,-1710.47,-61.5414
0,0.0805,-0.1275,-0.304141,-1597.08,-62.8272
0,0.0815,-0.1275,-0.407774,-1483.44,-63.1949
0,0.0825,-0.1275,-0.508264,-1369.56,-62.6445
0,0.0835,-0.1275,-0.605707,-1255.43,-61.1757
0,0.0845,-0.1275,-0.700027,-1141.07,-58.789
0,0.0855,-0.1275,-0.791327,-1026.45,-55.4838
0,0.0865,-0.1275,-0.879519,-911.592,-51.2603
0,0.0875,-0.1275,-0.964618,-796.489,-46.1189
0,0.0885,-0.1275,-1.04669,-681.142,-40.059
0,0.0895,-0.1275,-1.12566,-565.55,-33.0808
0,0.0905,-0.1275,-1.20157,-449.714,-25.1846
0,0.0915,-0.1275,-1.27439,-333.633,-16.3695
0,0.0925,-0.1275,-1.34414,-217.308,-6.63661
0,0.0935,-0.1275,-2.24244,-98.5589,7.37341
0,-0.0935,-0.1265,1.00827,-83.7137,216.758
0,-0.0925,-0.1265,1.72173,-191.059,228.43
0,-0.0915,-0.1265,1.93935,-302.471,238.035
0,-0.0905,-0.1265,2.15494,-414.877,246.924
0,-0.0895,-0.1265,2.36847,-528.278,255.096
0,-0.0885,-0.1265,2.57997,-642.672,262.553
0,-0.0875,-0.1265,2.78943,-758.061,269.292
0,-0.0865,-0.1265,2.99687,-874.444,275.315
0,-0.0855,-0.1265,3.20227,-991.822,280.621
0,-0.0845,-0.1265,3.40564,-1110.19,285.211
0,-0.0835,-0.1265,3.60694,-1229.56,289.084
0,-0.0825,-0.1265,3.80625,-1349.92,292.241
